State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0,38605	0,34315	0,30026	0,30026	0,34315	0,34315	0,12868	0,12868	0,25737	0,25737	0,42894	0,47184	0,60052	0,60052	0,64341	0,68631	0,60052	0,51473	0,42894	0,47184	0,55762
2	0,76170	0,74197	0,71474	0,67811	0,62269	0,55319	0,47900	0,40949	0,33718	0,29115	0,27143	0,27425	0,28082	0,30524	0,34093	0,39071	0,46585	0,51562	0,56822	0,60673	0,63584
3	5,51072	5,83488	6,28060	6,19956	6,44268	6,56424	6,36164	6,15904	5,67280	5,22708	5,47020	5,47020	5,91592	6,15904	6,28060	6,64528	6,56424	6,76684	6,36164	5,99696	5,67280
4	4,94923	5,75727	6,66631	9,39344	11,51454	14,74669	16,46377	17,67583	17,06980	20,09994	19,29191	16,66578	17,37282	20,40296	23,13009	21,51401	17,47382	14,24167	11,31253	8,28239	7,57536
5	3,20426	3,48049	3,89483	4,17106	4,06057	4,00532	3,39762	2,76229	2,20983	2,15459	2,23746	1,76787	1,60213	1,82311	2,51368	3,78434	4,50253	4,55778	4,53016	4,44729	4,28155
6	2,52756	2,58920	2,65085	2,77415	2,77415	2,40426	2,58920	2,52756	2,71250	1,91108	1,60284	1,54119	1,47955	1,35625	1,17131	1,91108	1,97273	2,03437	2,46591	2,09602	2,03437
7	4,01362	4,15445	4,64735	5,70356	8,30890	11,75920	17,74442	23,72964	30,77108	33,09476	35,13677	38,86874	37,95335	33,37641	27,03912	19,64561	14,36453	11,47754	8,80180	7,18227	5,28108
8	1,12690	1,12690	0,80493	0,64394	0,80493	1,12690	1,28788	1,44887	1,44887	1,44887	1,28788	1,12690	1,28788	0,96591	0,80493	1,12690	1,12690	0,80493	1,60985	2,73675	3,54168
9	0,69097	0,65845	0,55277	0,47148	0,44710	0,39832	0,41458	0,42271	0,41458	0,43084	0,43897	0,43084	0,44710	0,47148	0,47148	0,47148	0,56903	0,65032	0,76413	0,89419	0,99987
10	1,64851	1,38822	1,56174	1,38822	1,38822	1,56174	1,82203	2,16909	3,03672	3,90436	3,21025	2,25585	1,30145	0,95440	0,95440	0,78087	0,78087	1,30145	1,12792	1,64851	1,47498
