State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1,75287	1,42804	0,91882	0,59275	0,98701	0,42894	0,41920	0,38005
2	80,05481	0,23371	0,49862	0,81352	0,61269	0,27143	0,51872	1,16778
3	1,85558	8,52765	2,27649	1,01901	2,61066	5,47020	6,13477	0,57604
4	0,74440	23,85803	4,58553	1,47321	3,48624	19,29191	13,64251	0,23696
5	2,72194	1,16057	1,42580	1,53235	1,81150	2,23746	3,06508	0,32694
6	1,21964	0,49314	1,82551	1,61065	1,63132	1,60284	2,17200	0,30855
7	1,06779	29,28963	6,25099	1,72589	3,15951	35,13677	16,11992	0,17610
8	0,46705	0,59263	5,38186	2,29045	5,74172	1,28788	1,43675	0,30450
9	9,24934	0,82333	3,60547	2,25327	2,86189	0,43897	0,61034	0,27006
10	0,86659	2,62580	2,52863	1,10548	2,69522	3,21025	1,93715	0,58601
Base	100	1,1971775648	3,2081642772	41,9037580820	0,0012794036	0,0014719782	4,6515938314	36,2650601076
