State (Emission order)	CTCF	H3K4me3	H3K4me1	H3K27ac	H3K36me3	H3K9me3	H3K27me3
1	0.03263842915870689	0.08633844546560922	6.526540327208554E-4	0.002789096247872609	0.0903234388579641	0.6122902230620982	0.010625206199662588
2	2.7665831179256E-4	2.016543254448999E-5	7.0583565692E-5	3.849899286638591E-4	0.0014974464173663036	0.003235122153778659	0.0035691447317450216
3	0.010726754825222421	0.0036509252019359295	0.019469292326569944	3.022786742349542E-159	0.003372314570503967	0.03267657470282575	0.7437733012006714
4	0.09877252368326904	0.7475289967764047	0.7672526858772611	0.023792585519331392	0.0017804527666885363	0.007974540385951162	0.2588038764383443
5	0.0036944474592361443	0.004941894670525481	0.4934713569078557	0.12759358659940206	0.0060887049201294174	5.879901327458106E-4	1.8570541501747385E-4
6	0.041871770042293845	0.407425901788805	0.943022109994837	0.9152978077985107	0.03336647634364569	0.002169286675652583	3.817221612480688E-5
7	0.13275300650530505	0.9901743642717069	0.5120818508424326	0.8881326045586094	7.537828429982602E-4	3.3567216273157384E-4	5.256960188491616E-4
8	0.024786372774274496	0.013111403559848748	0.2593265938147255	0.490594773477842	0.7505731769030285	0.021520030311626113	6.336215839485772E-4
9	0.0022585883214065617	1.3231483191328967E-16	1.664722682650635E-4	0.01714444524275346	0.6144754266351982	0.0012037770086406863	6.306710875149563E-4
10	0.8909116303613982	0.016507797544975042	0.07929376635893187	0.015199160734983373	0.03763064218250176	8.552290438371304E-4	0.025175312262402313
