State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9190185540682909	0.07672534035253102	5.515847879993182E-4	2.6993985472523603E-4	0.0	3.589446274313591E-4	0.0	0.0	0.0030756363090220927	0.0
2	0.0016534635940950375	0.9865934714658926	0.002002074510576334	6.074754800801968E-4	0.004620727124944839	0.0	1.4632249698348618E-4	1.1224706025708635E-7	0.0024604385563543503	0.001915914524012761
3	4.662302274510507E-4	0.06687871793198967	0.9167068362305721	0.013732300469863299	4.535295158744086E-4	0.0	0.0	0.0	1.0107825083202858E-4	0.0016613073734173414
4	0.0	0.05177506969665005	0.04996378854884801	0.6709927623409381	0.10358957524612945	1.917991334222552E-6	0.11719896303240092	0.0014950916224468998	0.0	0.00498283152125239
5	9.387743735426823E-5	0.1245529421165446	9.544722633915126E-5	0.027614341497245263	0.7433416545730933	0.06890018797216341	0.013731465150739587	0.006423278545367108	0.012355806188070542	0.002890999293082817
6	4.0668762640487174E-4	0.0	0.0	0.0	0.15359764594833927	0.803243197062228	0.02646761524297807	0.014830203768314086	0.0	0.0014546503517355446
7	2.134938495732301E-4	0.012172377030557254	0.0	0.08039313225223794	0.04114781435056993	0.02756152100292876	0.8319155588258331	0.0	0.0	0.006596102688299765
8	0.0013038703773255408	9.719156450853463E-7	0.0	0.0017385726841863578	0.04463812820942139	0.028694616460653823	0.0	0.7901743734033397	0.13215965749713293	0.0012898094522951085
9	6.093127831816157E-4	0.02123908781219343	1.332466886748781E-4	1.7107456184839013E-6	0.0037171617963569653	0.0	0.0	0.007757434887301248	0.96477629731625	0.0017657479704231767
10	0.0	0.2432820693288256	0.01011874816929622	0.009277000056191856	0.014874954361564987	0.0028186088778405635	0.011831354036244876	1.8490973586073232E-6	0.028638195497037146	0.6791572205756403
