State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1,98893	2,00718	2,05280	1,97981	1,84296	1,87945	1,84296	1,76084	1,76997	1,83383	1,97069	2,05280	2,20790	2,20790	2,26264	2,34475	2,30826	2,26264	2,32650	2,37212	2,37212
2	3,33414	3,24958	3,23750	3,27374	3,39454	3,45494	3,46702	3,49118	3,44286	3,39454	3,21334	3,08046	2,76637	2,65765	2,39188	2,29524	2,24692	2,18652	2,02948	1,95700	1,86035
3	1,14198	1,14198	1,19164	1,19164	1,14198	1,14198	1,09233	1,14198	1,04268	1,09233	1,04268	1,14198	1,14198	1,09233	1,14198	1,19164	1,39024	1,34059	1,29094	1,19164	1,14198
4	0,47322	0,46969	0,46969	0,47793	0,47793	0,47558	0,46969	0,47793	0,48264	0,49088	0,49559	0,50501	0,51325	0,51678	0,51325	0,51678	0,52855	0,54032	0,53797	0,54503	0,55091
5	2,88611	2,88611	2,69685	2,46029	2,36566	2,31835	2,74417	2,41297	2,41297	2,50760	2,64954	2,41297	2,08178	2,31835	2,55491	2,46029	2,41297	2,41297	2,50760	2,69685	2,69685
6	5,03694	5,62952	5,92581	5,92581	6,51839	6,81468	4,74065	4,74065	4,14807	2,37032	2,37032	2,96290	3,25919	3,25919	2,96290	4,74065	4,44436	4,44436	4,14807	3,55549	3,85178
7	1,49830	1,37344	1,33182	1,74802	1,83126	1,83126	1,95612	1,74802	1,66478	1,78964	2,03936	2,16421	2,49717	2,20583	2,28907	2,12259	1,87288	1,91450	2,16421	1,99774	2,62203
8	2,39804	2,47070	2,54337	2,39804	2,68871	2,68871	2,25270	2,54337	2,68871	2,39804	1,88936	1,88936	1,96203	2,10736	2,10736	1,81669	1,88936	2,39804	2,32537	1,96203	2,03470
9	3,21487	3,95161	4,08556	3,48277	3,34882	2,67905	2,81301	3,08091	3,14789	3,21487	2,81301	2,41115	2,27720	2,81301	3,34882	3,61672	4,08556	3,88463	3,61672	4,01858	3,61672
10	3,37874	3,09717	2,53405	2,81561	2,53405	3,23796	3,80108	3,80108	3,80108	3,23796	3,09717	3,37874	3,51952	3,23796	3,23796	3,09717	2,53405	2,53405	3,23796	3,09717	2,95639
11	1,86642	1,76273	1,76273	1,97011	2,38487	2,17749	2,59225	2,90332	3,11070	2,79963	3,00701	2,59225	2,59225	2,69594	3,11070	2,69594	2,48856	2,07380	2,28118	2,17749	1,55535
