State (Emission order)	H3K36me3	H3K9me3	H3K27me3	H3K4me1	H3K27ac	H3K4me3	CTCF
1	0.05311068895373771	8.651568952451014E-5	1.5593243673823356E-4	6.128749311915775E-4	0.017065989888406845	1.5686470750450035E-13	8.797654236759367E-4
2	0.7882191785386428	0.002936468857508408	9.06826183492194E-4	0.0030732362850953744	0.03528307481988384	7.278253888448183E-5	0.003941389194895344
3	0.0882738007524016	0.6106857200383992	0.005698587066484171	4.645010341022197E-4	0.003171400428295441	0.08437004431355082	0.03153291558895232
4	1.5663935773484715E-4	0.003543838374975052	0.003781437870100478	2.4574712128237617E-4	3.70062476330645E-5	2.1483838622575698E-5	3.352023150228253E-4
5	0.00321548218705617	0.029875421481908106	0.7266096028138727	0.0036601161909910634	6.6598668045150265E-198	6.0715062203724685E-5	0.008193833828873778
6	0.006705267248870103	0.06679832527707869	0.8119887041221902	0.7075052125762805	0.022819147793706904	0.5799531697712601	0.1021792252521045
7	0.005733055505174254	7.354757034144906E-4	0.0031428890022902464	0.6708192268605592	0.06333325558544514	0.03362799541207053	0.007595907794473254
8	0.12258624544686116	0.005350097995160127	1.2681152019969005E-4	0.8038974998412988	0.8222136054180734	0.08808777412913862	0.03333213730811006
9	0.013171007314914628	3.608632469588301E-4	9.692866758301321E-4	0.9867622768274181	0.7203893314133181	0.9575413776588348	0.0819826281385416
10	2.85014263318316E-4	6.966756649702009E-4	6.079306077594891E-4	0.0480902492763331	0.7415996281641486	0.9432195283819328	0.1530363880440137
11	0.033576993187270664	8.256904583025759E-4	0.026269458903915285	0.08835637944208284	0.012982009203235693	0.02101726364626675	0.902564510503519
