State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11
1	0.9106723663395827	0.05084416833377766	4.3803502663111585E-4	0.0041097263174060955	0.0	1.7668867407454026E-4	0.020330143941371233	0.007969277724896308	6.497596454723226E-4	5.196877761138886E-4	0.004290146220674175
2	0.06964415410065018	0.9250011763404892	8.392529943811701E-4	0.0	2.2344882064926676E-4	2.8460891753689983E-5	0.0	0.0031872715740879493	0.0	0.0	0.0010762352779883964
3	0.0029549321895611276	0.003205775530841596	0.9184726098073733	0.07376350652027922	4.978231002706938E-4	6.340011431149021E-4	0.0	4.71351708559184E-4	0.0	0.0	0.0
4	4.8408829749293207E-4	1.428183560106491E-6	0.0017226105075940166	0.9912002534085831	0.00215280467652752	7.713442534887461E-5	0.002378114490140432	2.303271575253222E-5	1.9829754880147966E-4	1.9166195860932265E-4	0.001570573787589454
5	0.0	2.673655632230248E-4	5.854276272656557E-4	0.06660891826247285	0.9091875054489121	0.019544823349805757	0.001882874683235487	0.0	0.0	0.0	0.001923085065084943
6	0.004068237966668509	0.0	0.0016227975603053423	0.007304856976361627	0.15575909107629746	0.7764152610912359	0.019420991589547354	0.0	0.01068125542070663	0.020186392102211535	0.004541116216665603
7	0.09244848829801443	6.922199687715777E-4	1.2754611001357648E-4	0.08001014126844942	0.0024347658053416035	0.0029469688396334035	0.6921406134576555	0.05489232462416345	0.0686527395171526	0.0027356031831330067	0.0029185889276714576
8	0.06274499226125037	0.017770068126801142	8.289949991937283E-4	2.0400625569269275E-4	0.0	0.0	0.09765993959164224	0.7470649928818462	0.07221373555821414	2.0617844572045244E-4	0.001307091879638978
9	0.005165349508305429	0.0	0.0	0.010201281123223284	0.0	0.0034601724455284137	0.11162434915697785	0.07116886848699469	0.6830155686329843	0.11129608776757327	0.004068322878412841
10	0.010342670065890774	0.0	2.4792556110474114E-4	0.018799567069225993	0.0	0.00794526922112681	0.014026586060480165	0.0	0.20960110619265943	0.7325963230247189	0.006440552804793069
11	0.06762512423072767	0.01272892241192414	0.0	0.1900158514223647	0.010609624430453133	0.003841870773831745	0.01222241327917089	0.0016025941610582903	0.010049521159843871	0.007330256961815388	0.68397382116881
