Gene.stable.ID	Gene.name	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000030324	Rho	-13.3738309737774	8.35693900183673	-115.537980897175	1.1133164995018e-17	2.07900723116966e-13	26.5690668081432
ENSMUSG00000029064	Gnb1	-4.50929774991822	10.0845103415691	-87.5925888050211	2.04756150678686e-16	1.91180817888689e-12	27.8597883997321
ENSMUSG00000034837	Gnat1	-13.2002679520004	6.88986492953782	-78.4780453337127	6.49870407696154e-16	4.04522666443933e-12	22.947912359787
ENSMUSG00000040632	Nrl	-8.7338081053029	6.06420554483655	-68.5625848418213	2.68649942682454e-15	1.24895228583776e-11	24.0522786986482
ENSMUSG00000029491	Pde6b	-4.71520635121186	8.62323371189387	-67.1481875814013	3.34409415721796e-15	1.24895228583776e-11	25.4181820467448
ENSMUSG00000029769	Ccdc136	3.26876469114263	8.84199511154469	61.0007214091936	9.16587122695701e-15	2.39087494933418e-11	24.5108806581668
ENSMUSG00000034452	Slc24a1	-6.98966698227397	7.09246337812824	-62.6266980161748	9.22668211176263e-15	2.39087494933418e-11	24.1522778682971
ENSMUSG00000058831	Opn1sw	4.08680929589231	10.747628163703	60.358777913295	1.02425830538039e-14	2.39087494933418e-11	24.4145081043484
ENSMUSG00000058743	Kcnj14	-7.10116713349498	5.15604536824541	-58.4661803085039	1.43102526695298e-14	2.96921842611999e-11	22.8865086934991
ENSMUSG00000009108	Gnat2	3.55152254047681	9.26145699585604	55.7248209526035	2.36880699027827e-14	4.25537874550366e-11	23.614751708524
ENSMUSG00000096351	Samd11	-5.52284514459215	6.31311143710029	-54.9927129867078	2.72142511036553e-14	4.25537874550366e-11	23.2437440631815
ENSMUSG00000036395	Glb1l2	-4.35318618809205	6.01285130743594	-54.9675478698756	2.73452634390296e-14	4.25537874550366e-11	23.2881798924929
ENSMUSG00000019850	Tnfaip3	-3.56793638843153	6.70089571044002	-53.4401233964263	3.67525116766381e-14	5.06781530178538e-11	23.1351652286195
ENSMUSG00000031789	Cngb1	-5.34426948762847	7.08747033859205	-54.442887769502	3.79936886714123e-14	5.06781530178538e-11	23.0593584530513
ENSMUSG00000021255	Esrrb	-5.50504813334676	5.96589203622512	-52.7570888612178	4.20621308678223e-14	5.22274649906965e-11	22.7868593121841
ENSMUSG00000035504	Reep6	-5.45265361927188	6.90718033777083	-53.5112746434937	4.63574939926836e-14	5.22274649906965e-11	22.8502401363007
ENSMUSG00000024575	Pde6a	-3.71574713179096	9.57263217894496	-52.1443315541564	4.75456198373054e-14	5.22274649906965e-11	22.9432809833117
ENSMUSG00000058498	Rnf207	-3.75566868844592	5.76068378741112	-51.5108395553325	5.4048973709964e-14	5.6072807503326e-11	22.6767673753276
ENSMUSG00000024992	Pde6c	3.95688131103136	8.88947543860877	49.9918671947085	7.39786964468865e-14	7.27093777604821e-11	22.5070797901461
ENSMUSG00000090799	Klhl33	4.24300037552438	5.76059174916728	48.9876062296157	9.15186226146822e-14	8.54509379353288e-11	22.1324501256665
