Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10
ACTB	4	P60709	0.9999	29.12098264103936	28.95518236186252	28.985795670653516	29.138969310917457	29.179388398134698	29.127217795541597	29.22653315521862	29.160458711431264	29.14198661071012	29.209399379581452	29.116699371276564
AHNAK	1	Q09666	0.9902	24.558948225582288	24.477762839329127	24.524088067628544	24.38098713662267	24.68514973420019	24.554314807370773	24.604576652612998	24.532773964395062	24.70435674623949	24.52595791297233	24.485066233220717
AK2	1	P54819	0.9928	23.97862121912152	24.137427047897	24.18177948220567	23.897655085961464	23.82607344069461	23.990388994389225	23.674343274853598	23.84684463931803	24.043523939953165	24.050668370007493	23.945710387436442
ALDH1A1	1	P00352	0.9924	25.94636465451161	25.424680091190996	25.100385884311013	25.411025154669883	26.09112881266035	25.981458792736355	25.753319371520597	26.289172681290314	26.343200112097048	26.367567423252748	26.03092461967152
ALDH3A1	1	P30838	0.9779	22.72142238800364	22.594971756219834	22.438721540897163	22.499502323915234	22.769844815368813	22.7894803566717	22.678103583426825	22.88325966544529	22.927763908970572	22.789895547073456	22.66903072087073
ANP32A	1	P39687	0.9949	25.168661880584448	25.28611091909569	25.29625358319041	25.310974576688935	25.116630333948404	25.114629960060963	24.78363098235525	24.99187897327529	25.10603666241486	25.26581583118536	25.282944851192276
ANXA2P2	1	A6NMY6	0.9993	18.16624280449733	18.18257163681709	17.9570189479646	17.925844500878227	18.096809211173763	18.149425722014076	18.377447754125452	18.271732518346745	18.16940033686828	18.42353161673178	18.149923366208796
ATP2A2	1	P16615	0.9852	23.601575110836404	23.52202552703887	23.667753020497237	23.684102571531085	23.61299211205067	23.559718451100128	23.50621080691411	23.668408265153467	23.6389742817005	23.49946376732675	23.582377377395677
ATP5F1A	2	P25705	0.9999	27.714903225930982	27.77274592106286	27.769618481755916	27.89218311599266	27.74045108580512	27.618224076522793	27.665949229661926	27.69854321293171	27.61260881106102	27.708724828377633	27.697395530921245
ATP5F1B	2	P06576	0.9912	27.327598846580944	27.43533247662226	27.220892147849074	27.425659934689204	27.321160888805515	27.322953298806528	27.318912532853414	27.321329762584813	27.21550449749856	27.30996858434737	27.375926981594183
ATP5F1C	2	P36542	0.9725	24.61405119997984	24.587095515694326	24.71755979396572	24.684622327668784	24.592159756487767	24.526350706077835	24.5567929102483	24.56336980100524	24.561551978437084	24.63434399734294	24.700232784788646
CANX	2	P27824	0.9995	27.792038727469432	27.972627689666655	27.95609650240967	28.08924826548663	27.672044925733942	27.724389644275757	27.54129978697213	27.669419732065002	27.687499435749693	27.712441211289622	27.79165293634443
CLTC	1	Q00610	0.9996	23.542319992789984	23.839495999835812	23.50901149878928	23.150680440667966	23.411844666418517	23.41279433515538	23.7150191287298	23.50960623540696	23.46925339011039	23.68098868086574	23.592791343188118
